"","X","game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner","round_condition","stage","score","stage.f","game.f","interaction_lvl","opp_type","condition.f","adj_score"
"1",1,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",1,"rock",11069,"scissors",1283.604456,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"2",2,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",2,"scissors",2271,"paper",649.48381,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"3",3,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",3,"rock",1433,"rock",1606.274479,"tie","Level2",1,0,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",0
"4",4,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",4,"scissors",723,"scissors",638.5920332,"tie","Level2",1,0,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",0
"5",5,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",5,"rock",740,"paper",1181.355954,"AI","Level2",1,-1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",-1
"6",6,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",6,"rock",1117,"rock",1479.251498,"tie","Level2",1,0,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",0
"7",7,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",7,"rock",339,"scissors",740.0623659,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"8",8,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",8,"scissors",1582,"paper",1584.636375,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"9",9,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",9,"paper",1216,"rock",1025.738596,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
"10",10,"012756c9-2422-4c6e-b928-7950afcd5d1f",NA,"bZg1T3MNoItL6b7qAAAj","b-uT4ngv4UfdKHPJAAAk","5c3872541736360001471ca0","Level2",10,95,"If the opponent win with a certain move, he will almost always keep that same move in the next round. If he loses, he will try to beat my previous winning move so in order to win you had to win the first time and then always put the weak move to your previos winning move. It seemed to me that sometimes the opponent would know that and tried to counter this thought process, that's why I happened to lost a few times.","rps",10,"rock",2446,"scissors",1157.881831,"human","Level2",1,1,"Stage 1","RPS","first interaction","Level_2","lvl_2 first",1
