"","human_id","game.f","opp_type","interaction_lvl","condition.f","int_score"
"1","1I3kEYgqQNafdKmYAAE2","RPS","Level_1","first interaction","lvl_2 first",-0.05
"2","1I3kEYgqQNafdKmYAAE2","RPS","Level_1","second interaction","lvl_2 first",-0.1
"3","1I3kEYgqQNafdKmYAAE2","RPS","Level_2","first interaction","lvl_2 first",-0.3
"4","1I3kEYgqQNafdKmYAAE2","RPS","Level_2","second interaction","lvl_2 first",0.5
"5","1I3kEYgqQNafdKmYAAE2","FWG","Level_1","first interaction","lvl_2 first",0.2
"6","1I3kEYgqQNafdKmYAAE2","FWG","Level_1","second interaction","lvl_2 first",0.2
"7","1I3kEYgqQNafdKmYAAE2","FWG","Level_2","first interaction","lvl_2 first",0.3
"8","1I3kEYgqQNafdKmYAAE2","FWG","Level_2","second interaction","lvl_2 first",0
"9","1I3kEYgqQNafdKmYAAE2","SHOOT","Level_1","first interaction","lvl_2 first",0.67
"10","1I3kEYgqQNafdKmYAAE2","SHOOT","Level_1","second interaction","lvl_2 first",0.67
"11","1I3kEYgqQNafdKmYAAE2","SHOOT","Level_2","first interaction","lvl_2 first",0.5865
"12","1I3kEYgqQNafdKmYAAE2","SHOOT","Level_2","second interaction","lvl_2 first",0.67
"13","1XLMrTr83c4qS8dZAADJ","RPS","Level_1","first interaction","lvl_2 first",0
"14","1XLMrTr83c4qS8dZAADJ","RPS","Level_1","second interaction","lvl_2 first",-0.4
"15","1XLMrTr83c4qS8dZAADJ","RPS","Level_2","first interaction","lvl_2 first",0.2
"16","1XLMrTr83c4qS8dZAADJ","RPS","Level_2","second interaction","lvl_2 first",0.2
"17","1XLMrTr83c4qS8dZAADJ","FWG","Level_1","first interaction","lvl_2 first",0.2
"18","1XLMrTr83c4qS8dZAADJ","FWG","Level_1","second interaction","lvl_2 first",0.2
"19","1XLMrTr83c4qS8dZAADJ","FWG","Level_2","first interaction","lvl_2 first",0
"20","1XLMrTr83c4qS8dZAADJ","FWG","Level_2","second interaction","lvl_2 first",0
"21","1XLMrTr83c4qS8dZAADJ","SHOOT","Level_1","first interaction","lvl_2 first",0.336
"22","1XLMrTr83c4qS8dZAADJ","SHOOT","Level_1","second interaction","lvl_2 first",0.169
"23","1XLMrTr83c4qS8dZAADJ","SHOOT","Level_2","first interaction","lvl_2 first",0.169
"24","1XLMrTr83c4qS8dZAADJ","SHOOT","Level_2","second interaction","lvl_2 first",0.336
"25","2o6EfY2kcZpacXG5AACi","RPS","Level_1","first interaction","lvl_1 first",0.05
"26","2o6EfY2kcZpacXG5AACi","RPS","Level_1","second interaction","lvl_1 first",-0.5
"27","2o6EfY2kcZpacXG5AACi","RPS","Level_2","first interaction","lvl_1 first",0.2
"28","2o6EfY2kcZpacXG5AACi","RPS","Level_2","second interaction","lvl_1 first",0.1
"29","2o6EfY2kcZpacXG5AACi","FWG","Level_1","first interaction","lvl_1 first",0.1
"30","2o6EfY2kcZpacXG5AACi","FWG","Level_1","second interaction","lvl_1 first",-0.4
"31","2o6EfY2kcZpacXG5AACi","FWG","Level_2","first interaction","lvl_1 first",0.5
"32","2o6EfY2kcZpacXG5AACi","FWG","Level_2","second interaction","lvl_1 first",0.1
"33","2o6EfY2kcZpacXG5AACi","SHOOT","Level_1","first interaction","lvl_1 first",0.169
"34","2o6EfY2kcZpacXG5AACi","SHOOT","Level_1","second interaction","lvl_1 first",0.67
"35","2o6EfY2kcZpacXG5AACi","SHOOT","Level_2","first interaction","lvl_1 first",0.336
"36","2o6EfY2kcZpacXG5AACi","SHOOT","Level_2","second interaction","lvl_1 first",0.67
"37","3_JxdNwHO9s_tnGvAAGL","RPS","Level_1","first interaction","lvl_2 first",-0.2
"38","3_JxdNwHO9s_tnGvAAGL","RPS","Level_1","second interaction","lvl_2 first",-0.3
"39","3_JxdNwHO9s_tnGvAAGL","RPS","Level_2","first interaction","lvl_2 first",0.45
"40","3_JxdNwHO9s_tnGvAAGL","RPS","Level_2","second interaction","lvl_2 first",0
"41","3_JxdNwHO9s_tnGvAAGL","FWG","Level_1","first interaction","lvl_2 first",-0.3
"42","3_JxdNwHO9s_tnGvAAGL","FWG","Level_1","second interaction","lvl_2 first",0.3
"43","3_JxdNwHO9s_tnGvAAGL","FWG","Level_2","first interaction","lvl_2 first",0.65
"44","3_JxdNwHO9s_tnGvAAGL","FWG","Level_2","second interaction","lvl_2 first",0.7
