"human_id","condition","Early_game_score","Total_score","Best_model_2","Total_time","BT_minus_NBT_BIC","Rand_minus_best_BIC"
"bZg1T3MNoItL6b7qAAAj","Level2",12,115,"ToM_Naive",308162,-16.4274222782962,170.278534329885
"J3SqvTcFUwXtSC6wAAB0","Level2",10,115,"ToM_NBT",369895,15.0402933066601,182.631258140681
"gRRZ0rUagyVejWTOAAFl","Level2",10,32,"ToM_Naive",250303,-6.12598104568644,25.0941958905054
"vGnDPRowetREQVmwAADL","Level2",-3,9,"random",207470,4.35968116390842,0
"UQ2ClBvGXwIgRRxJAACU","Level1",14,126,"ToM_NBT",268574,17.047131092556,217.679286368936
"wi_zWhftr9MdqTmCAAHs","Level1",5,73,"ToM_BT",218713,-2.33928360313161,81.9223273736838
"v4JPdc2dyGGb0M9KAAAS","Level1",4,51,"ToM_Naive",233476,2.80439735865571,55.9931436977867
"LQcrLHbnJAiZQ7BLAAFx","Level1",1,5,"ToM_NT",441896,4.42615649765446,10.4109654431118
"1XLMrTr83c4qS8dZAADJ","Level2",1,38,"QLS_within",407639,0.241149205514319,10.5321833888825
"NWCvzUgUu8IuyjfLAAB_","Level1",-1,38,"ToM_Naive",211810,-1.61688827643223,27.5294565219565
"1I3kEYgqQNafdKmYAAE2","Level2",3,67,"QLS_within",349173,-15.5211394827585,77.5255648959969
"JugPgNzi2NGqsHZzAABY","Level2",6,27,"random",287600,-4.14729277179765,0
"D-VZPAQt4z9eGk05AAEV","Level1",11,107,"ToM_BT",192787,-45.6951803667313,166.644860260098
"J8_eW3CRDl64752AAAIw","Level2",1,59,"ToM_NT",323952,8.58911507943259,67.5005211132706
"bpaMxr2edUaSR-dFAAGz","Level1",0,49,"ToM_Naive",232009,-0.488657185164698,13.5684360921933
"HWVAqPzkj2ugA9vPAAGJ","Level2",7,70,"QLS_within",212848,-10.0392605426842,67.8337319033059
"Ipzb3ezDIYT0eRneAAAS","Level2",8,66,"ToM_NBT",226755,1.71482988583898,70.517097645836
"PJpglw0AOw675yAdAAHP","Level1",3,41,"ToM_Naive",235108,-1.70350671157689,39.2017806185008
"7DzgDjXk_uRYBYj6AADN","Level1",14,148,"ToM_NBT",185219,12.7691244195468,317.283080675452
"3h3jZyjIjjTRIL5fAABG","Level1",6,101,"ToM_Naive",507882,-1.09279715333804,104.890987181007
"sIk6KD9rUGe2kTq7AABg","Level1",3,11,"S_EWA",225520,5.31813214239048,22.8887841623928
"sJWcEQ_yv-10lmf-AAFN","Level1",7,85,"QLS_within",409572,24.8218836772824,86.9948407450176
"e7z8X9BaODupDdzrAAHN","Level2",7,52,"ToM_BT",185465,-10.2671751867525,29.0269884515619
"BjBPvEASTEAwT4IBAAFP","Level2",2,42,"ToM_Naive",534415,2.05159818271659,38.7147654605502
"amDuYL1Ye5omcBj6AAAR","Level1",12,121,"ToM_NBT",903532,14.5010350329826,188.969308072022
"qVfFo-E8nx1aMQrkAAAh","Level1",0,52,"ToM_Naive",273188,-8.43685414471605,42.3994332229958
"eZLToe7akcCQujPtAANT","Level1",2,21,"ToM_Naive",223250,-2.23605890452882,18.1280927184722
"5n2YIMBTH3GYyBUvAACt","Level1",0,59,"ToM_NT",751893,2.69842936872652,50.9007468294591
"Bfty2Volxvh7TZuAAAAn","Level1",16,122,"ToM_NBT",631334,3.7225115375899,188.992908656959
"LrE6ZszEnyovbhwZAAD1","Level1",10,74,"ToM_Naive",372354,-6.48957019946846,122.617343855776
"fVYQiLoEetexaO0SAABW","Level1",4,78,"ToM_Naive",230650,8.28457234261862,81.2006532727633
"ma9i8ks9WP1eBPYhAAAV","Level1",4,41,"ToM_Naive",346688,1.53747577967431,51.1219689737437
"kJ2thT5Z-1Qh2eWpAAHp","Level2",-1,38,"ToM_BT",465455,-2.61056921759825,24.8077307229564
"94-lizWrkNfoLXQuAAGx","Level2",13,105,"ToM_BT",299323,-7.04969984868123,142.739346983764
"YUCCkBUG83_JkDNGAAAI","Level2",3,61,"ToM_Naive",351975,-7.29953141699758,26.9460965512141
"prcG2V77ivcCj8ziAAAK","Level1",10,116,"ToM_NBT",731447,19.7267327716227,183.943235531527
"3_JxdNwHO9s_tnGvAAGL","Level2",5,51,"QLS_within",389870,1.6273427852413,85.5835760846988
"PPuClUN70TLCCciPAADz","Level2",-2,32,"ToM_Naive",182819,-4.80658379383073,21.5442452458839
"oxFTHoqnqWrmCV-SAABm","Level1",10,98,"ToM_NBT",555445,15.6821794463928,151.236800334732
"tf0MGgvxmqZRO_clAAEv","Level1",8,57,"ToM_Naive",306530,0.610038917719692,22.6847414958673
"qxE6d7fDhRDSZ8LNAACg","Level2",4,54,"ToM_Naive",159062,-16.0200617269918,34.3584930731425
"z4PrcHRUF5bxfgrKAACQ","Level2",-3,43,"ToM_BT",210696,-5.01423429419884,32.8943094249212
"hrysprKOi0yO4R2pAACB","Level2",2,62,"ToM_BT",408682,-15.0281015812649,54.4907831833827
"2o6EfY2kcZpacXG5AACi","Level1",3,50,"ToM_BT",253365,-6.74266611713131,43.4491690647282
"EaYc4vC7DCwwt15aAAIF","Level1",-5,37,"ToM_NT",212802,0.219979618930893,29.9719162538181
"r2nFfSPcBAarIW5SAAFp","Level1",3,44,"ToM_Naive",234446,4.65201289237143,36.000340977118
"wkSekQIWpxx9cI6DAAAK","Level2",11,99,"ToM_NBT",328735,3.83017725312777,159.403074768236
"bNrt9YPV9mSMUhWfAAB6","Level1",7,60,"ToM_Naive",372406,-5.24196697471928,50.3344529989
"jsY8H-8cm_SFVtJ1AACC","Level2",14,132,"ToM_NT",497957,-7.1906345723159,257.928905304751
"YI5xBRHQEsR4UCk6AACr","Level2",11,77,"ToM_BT",675521,-41.8841082720589,123.486630431079
