"ID","condition","Random_BIC","Btwn_TR_BIC","No_Btwn_Tr_BIC","No_Tr_BIC","theta_transfer","theta_no_btw_tr","theta_no_tr","eps_transfer","eps_no_btwn_tr","eps_no_tr","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_self_2LL","EWA_self_BIC","EWA_self_Lambda","MBM_2LL","MBM2_BIC","MBM2_alpha","MBM2_beta"
"bZg1T3MNoItL6b7qAAAj","Level2",395.500423920519,230.408817337571,242.524690217322,229.25526947303,0.0179563157596058,0.35852618014103,0.162997146659434,0.131571803981868,0.242638362181958,0.162445997595255,291.99263459103,0.558910680980734,0.880756417581141,395.500423920519,400.69338077141,1.09998186522351e-15,283.87539663148,294.261310333261,0.712398097724704,0.218039025123875
"J3SqvTcFUwXtSC6wAAB0","Level2",395.500423920519,226.249586966638,212.869165779839,216.419107319496,0.0452543039069488,0.146234722018955,0.215032438306347,0.17244934711111,0.145541821102634,0.123161277832296,270.963725073785,0.369186139011144,0.558111015377045,395.500423920519,400.69338077141,1.15690765440799e-16,268.210586102184,278.596499803964,0.571596886438781,0.683404276380315
"gRRZ0rUagyVejWTOAAFl","Level2",395.500423920519,373.764375409254,377.741285424175,376.601697884523,0.148197051134781,0.182453638063068,0.578465328387062,0.665136194171314,0.661307200966189,0.666601513042255,390.895003823586,0.255222769955913,0.109666502447144,395.500423920519,400.69338077141,1.69303361408645e-15,382.013201268358,392.399114970138,1.74991769204713,0.289665538591453
"vGnDPRowetREQVmwAADL","Level2",395.500423920519,402.945457485024,399.509775650804,397.51718622505,0.01,0.0196311812431625,0.0664963750493429,0.835766161933009,0.750110781401582,0.74106950278901,396.774243582387,0.367049229584307,0.152217199854239,395.413959307155,400.606916158046,0.107324569823072,387.706842275525,398.092755977305,1.72089415697219,0.286853836327012
"UQ2ClBvGXwIgRRxJAACU","Level1",395.500423920519,163.148379442633,177.821137551584,190.315544171975,0.179010554871484,0.549360126859255,0.99,0.115783089010228,0.139928255024606,0.159981937333058,234.145882519999,0.350100020485425,0.72788654149798,395.500423920519,400.69338077141,1.07449352622899e-16,221.098250498568,231.484164200348,0.436559119450866,0.697429423190818
"wi_zWhftr9MdqTmCAAHs","Level1",395.500423920519,312.424290413719,315.917380149967,318.395540636407,0.0211512836342498,0.0710726802127856,0.251122129118588,0.307839239566508,0.316739689353937,0.373577837702442,370.413305553132,0.537514757551253,0.372501158667728,395.415474256788,400.608431107678,0.0813167866702813,361.902348330088,372.288262031869,1.19607399516465,0.477947594571201
"v4JPdc2dyGGb0M9KAAAS","Level1",395.500423920519,344.075438744268,348.095327199235,351.515184913698,0.0124986103421622,0.0253644454609825,0.0426110104134885,0.403332696916651,0.411659526008459,0.416765452769886,399.958050801346,1.66402646264394,0.855838957486642,395.500423920519,400.69338077141,3.60318111521374e-15,388.381775372274,398.767689074055,2.33508462282364,0.0501667319331318
"LQcrLHbnJAiZQ7BLAAFx","Level1",395.500423920519,391.228081100467,388.839039755728,385.089458477408,0.01,0.01,0.01,0.654534053518989,0.6173805876796,0.56257630133921,405.8863376223,12.7756869908599,5.05889722882581e-16,395.500423920519,400.69338077141,6.39054558339497e-16,395.920839473871,406.306753175652,8.50682943630904,0.664575095055625
"1XLMrTr83c4qS8dZAADJ","Level2",395.500423920519,387.992819544739,386.331671359696,389.661195426303,0.025109500720077,0.426696352840685,0.0946132039099945,0.695961954158561,0.729269660285237,0.684027357339615,388.86701459435,1.28555854914302,0.883299869429141,395.500423920519,400.69338077141,6.34964194621939e-15,378.862789764565,389.248703466345,1.85557239583038,0.767990249227228
"NWCvzUgUu8IuyjfLAAB_","Level1",395.500423920519,375.125170115423,379.542698917965,379.225279329545,0.0180711342025431,0.0272217626676344,0.085771332300844,0.577191569062244,0.589123492285482,0.603788793373902,369.889548770167,0.421951536552236,0.293220006277414,395.500423920519,400.69338077141,1.15895997644127e-15,361.511076835709,371.896990537489,0.962351878472717,0.400250211243402
"1I3kEYgqQNafdKmYAAE2","Level2",395.500423920519,328.375102904553,342.382754704549,341.506522976253,0.028271747875717,0.069086153746869,0.166540005026773,0.361988711546806,0.402307612793636,0.420196418859042,342.189823191695,0.352699649582957,0.274250503910954,395.500423920519,400.69338077141,1.78718401592642e-15,343.83119247919,354.217106180971,1.05328066233051,0.407400549683959
"JugPgNzi2NGqsHZzAABY","Level2",395.500423920519,399.197103233823,401.012758710966,403.434596500978,0.0775005639356624,0.15806389100831,0.01,0.842680930172196,0.856634150816599,0.83685167877143,398.260768010137,1.86314741009876,0.819684652745256,395.500423920519,400.69338077141,6.19738807039898e-16,389.101876394739,399.487790096519,2.33231743987217,0.437937614106341
"D-VZPAQt4z9eGk05AAEV","Level1",395.500423920519,239.582649784975,274.550744027153,250.753649936485,0.0291298534421212,0.0673375379950039,0.373185714952315,0.139609174376645,0.176807121212837,0.218530791606447,261.080560927874,0.331330480710322,0.853271018309094,395.500423920519,400.69338077141,1.14234051850236e-15,257.344894295809,267.73080799759,0.425279443840632,0.417126151465089
"J8_eW3CRDl64752AAAIw","Level2",395.500423920519,342.200553619953,333.982593049277,327.999902807249,0.01,0.0160209910051269,0.0450571028904024,0.333413979347626,0.293757962631057,0.271233241857981,375.75877860976,0.459501949581926,0.331380728491676,395.500423920519,400.69338077141,1.24924860321035e-15,372.967804429827,383.353718131608,1.33491463960024,0.560862671210851
"bpaMxr2edUaSR-dFAAGz","Level1",395.500423920519,382.025489933335,383.858869055983,382.773408811934,0.0130717382449477,0.0369395602599745,0.0901682314690499,0.590317194990369,0.608348156933719,0.605276434057367,393.333216452634,1.667202836869,0.999413903214968,395.092946522959,400.28590337385,0.196716114498272,383.608138041434,393.994051743214,2.28856808160485,0.394161849183485
"HWVAqPzkj2ugA9vPAAGJ","Level2",395.500423920519,347.589052587099,352.084503011539,352.413357173908,0.0417944869102602,0.99,0.975959973811728,0.515784841823102,0.579634449589672,0.570724451139127,337.439813859064,0.108013104921056,0.121358268788798,395.500423920519,400.69338077141,2.91529840526106e-16,331.086875101512,341.472788803292,0.633085440319917,0.523102829936551
"Ipzb3ezDIYT0eRneAAAS","Level2",395.500423920519,316.418168359722,324.983326274683,327.833345518996,0.0220655070924189,0.0416623864684188,0.0950218917254006,0.33359432778041,0.330667033696872,0.342034967976902,351.190617935174,0.832916698304094,0.981690144591341,395.500423920519,400.69338077141,1.92392744551969e-17,340.101536631081,350.487450332862,1.05076830257321,0.107694868885299
"PJpglw0AOw675yAdAAHP","Level1",395.500423920519,367.45491395899,368.399315062529,373.43208730448,0.01,0.01,0.0145541913776672,0.496182611005336,0.483547358935289,0.501557721191045,404.271169964691,2.82671832171828,0.542312102267519,395.500423920519,400.69338077141,1.98084827053445e-15,393.8849086158,404.270822317581,5.44208732858076,0.343890669646925
"7DzgDjXk_uRYBYj6AADN","Level1",395.500423920519,91.4178510752826,78.2173432450675,80.8966043105372,0.112421538154312,0.302954862501211,0.357100642316701,0.0145675232044595,0.01,0.01,181.41316431864,0.12314841974207,0.366037265827582,395.500423920519,400.69338077141,1.62552412355813e-16,180.866647996926,191.252561698707,0.340137013535808,0.262494965034064
"3h3jZyjIjjTRIL5fAABG","Level1",395.500423920519,293.53797955503,304.312730796962,302.120373322966,0.0384722292627797,0.171251883609122,0.94652907020714,0.323997338149259,0.37739505581311,0.406514729213744,316.723444082006,0.3474303659057,0.459839913901813,395.500423920519,400.69338077141,2.63859009451321e-16,311.242997563741,321.628911265522,0.778208660973421,0.677266180390986
"sIk6KD9rUGe2kTq7AABg","Level1",395.500423920519,384.629955696626,381.917130600503,385.208147218854,0.01,0.0188899564171907,0.01,0.618676737098839,0.589559968734932,0.59819534342168,403.667087517017,0.789618905489148,0.146684874186748,367.418682907237,372.611639758127,1.67476497019007,394.885958381364,405.271872083145,7.0371017359816,0.515900442598993
"sJWcEQ_yv-10lmf-AAFN","Level1",395.500423920519,315.364599702788,308.806350606134,309.00827952175,0.0703862314169751,0.601649756762224,0.658664467603565,0.426989724131212,0.420116253235304,0.4116855151721,311.297546052327,0.573851254677439,0.86058223323018,395.500423920519,400.69338077141,2.63371248218886e-17,306.570062932001,316.955976633782,0.775930882457811,0.746101513970643
"e7z8X9BaODupDdzrAAHN","Level2",395.500423920519,379.244604789225,376.74061065571,377.135085739988,0.0217821639485355,0.281032934228792,0.29160590228543,0.636062027641572,0.676949698617604,0.656998030435115,384.067981366445,0.838128626225707,0.591036511483161,395.500423920519,400.69338077141,7.52078267350715e-16,373.231808577969,383.617722279749,1.23400994325919,0.784637925680727
"BjBPvEASTEAwT4IBAAFP","Level2",395.500423920519,358.354577958805,357.708129141163,364.357231011442,0.01,0.0322346155374465,0.030496297089103,0.429452608830383,0.441416785185703,0.441311270511637,387.463966487304,1.20928717492096,0.95019842841167,385.63644815018,390.82940500107,1.1465940683869,376.923790560622,387.309704262402,1.77528067712694,0.924145771993296
