"id","condition","BIC_transfer","BIC_no_transfer","theta_transfer","theta_no_transfer","eps_transfer","eps_no_transfer"
"38VxtUSv_h6RR5-tAAA2","Level2",386.948671769707,387.889460895928,0.321396859019756,0.831915043887632,0.89788076039678,0.911045761159453
"oXdDF_U-Dft2ja2lAAAs","Level1",237.269525617056,231.305538191007,0.0422859731153596,0.0778071668223689,0.287127913212579,0.249067339161261
"4HDD95eEc5uc6WGZAAB-","Level1",377.552221461301,376.067165463439,0.0923774689164244,0.108979963009652,0.799901531287382,0.779268673757288
"QSuzBXpbyRc370HsAACW","Level2",355.857270927851,354.090643989534,0.0239142638993766,0.0368752672185943,0.641027216647468,0.607809838255952
"9M_yMJbCXl54gNUJAAAg","Level2",339.270494487425,344.324695564916,0.0156693971808383,0.0784355677780613,0.562317981314012,0.610779336478227
"SqFSft5pBSQvCRguAAB4","Level2",158.685259166824,156.179411045021,0.0350162251874392,0.0904589513757769,0.117997191940694,0.111851765662421
"OMboMzdFXCbIT4xIAABY","Level1",266.35778498853,262.126955770223,0.374551104564024,0.239578454169612,0.353706569933038,0.329437161002355
"FeAZRu_9Hrcdjm_iAABo","Level1",357.14775810368,360.001534088684,0.0321606213539933,0.0136311837391035,0.635562789548172,0.554853675874057
"h_7YPIjrawfjJTC9AACI","Level1",389.473239514013,389.304035103923,0.136283676506348,0.160679925157184,0.93936222638612,0.932936112476964
"7QnidGGKs1c6kKJoAAAI","Level2",340.539332569956,339.32368958938,0.99,0.180449220424289,0.609763262169943,0.591821979523572
"Awf0J1oiQuRs5911AAAS","Level2",148.096164201623,164.984768859547,0.0293373992198166,0.0429372559997357,0.103081994280987,0.113436395712014
"O5H_fl6X-WZWz26DAABu","Level2",390.954611214718,390.814820427952,0.01,0.01,0.99,0.99
"2NHwNgPzjWxDBriwAAAU","Level2",390.024361181158,389.538214107949,0.113727106316236,0.160173920939174,0.956960531848806,0.941284801071272
"2ZmOL0OjH5Uwt3DCAACm","Level1",385.8214709902,387.089427028277,0.0440126980435121,0.0723658536174538,0.878631455046664,0.888327360821192
