"","human_id","condition","game.f","confidence","difficulty","early_score"
"1","06i_Cux84PGac8aqAAAA","Level2","RPS",20,88,0.2
"2","06i_Cux84PGac8aqAAAA","Level2","FWG",20,88,0
"3","06i_Cux84PGac8aqAAAA","Level2","NUM",20,88,0.2
"4","0n-ueZ_Y59EpoZdSAAAe","Level1","RPS",100,4,0.4
"5","0n-ueZ_Y59EpoZdSAAAe","Level1","FWG",100,4,1
"6","0n-ueZ_Y59EpoZdSAAAe","Level1","NUM",100,4,0.4
"7","2H3e6jXSDoRUUpIeAAAG","Level2","RPS",23,21,0.4
"8","2H3e6jXSDoRUUpIeAAAG","Level2","FWG",23,21,0.2
"9","2H3e6jXSDoRUUpIeAAAG","Level2","NUM",23,21,-0.2
"10","2Icz3DkcGwi230swAABw","Level2","RPS",25,40,0.2
"11","2Icz3DkcGwi230swAABw","Level2","FWG",25,40,0.2
"12","2Icz3DkcGwi230swAABw","Level2","NUM",25,40,-0.6
"13","2NHwNgPzjWxDBriwAAAU","Level2","RPS",25,75,-0.2
"14","2NHwNgPzjWxDBriwAAAU","Level2","FWG",25,75,-0.4
"15","2NHwNgPzjWxDBriwAAAU","Level2","NUM",25,75,-0.2
"16","2rceYs3ijHQUGaHWAAAE","Level1","RPS",68,79,-0.8
"17","2rceYs3ijHQUGaHWAAAE","Level1","FWG",68,79,0.6
"18","2rceYs3ijHQUGaHWAAAE","Level1","NUM",68,79,0.6
"19","2ZmOL0OjH5Uwt3DCAACm","Level1","RPS",20,79,0.2
"20","2ZmOL0OjH5Uwt3DCAACm","Level1","FWG",20,79,0.6
"21","2ZmOL0OjH5Uwt3DCAACm","Level1","NUM",20,79,0.6
"22","38VxtUSv_h6RR5-tAAA2","Level2","RPS",60,75,0
"23","38VxtUSv_h6RR5-tAAA2","Level2","FWG",60,75,0.6
"24","38VxtUSv_h6RR5-tAAA2","Level2","NUM",60,75,0.4
"25","4HDD95eEc5uc6WGZAAB-","Level1","RPS",45,20,0
"26","4HDD95eEc5uc6WGZAAB-","Level1","FWG",45,20,-0.2
"27","4HDD95eEc5uc6WGZAAB-","Level1","NUM",45,20,0.2
"28","62ksRmCUyOlOJWTQAAB2","Level2","RPS",100,5,-0.2
"29","62ksRmCUyOlOJWTQAAB2","Level2","FWG",100,5,0.6
"30","62ksRmCUyOlOJWTQAAB2","Level2","NUM",100,5,0
"31","7QnidGGKs1c6kKJoAAAI","Level2","RPS",100,1,0.2
"32","7QnidGGKs1c6kKJoAAAI","Level2","FWG",100,1,0
"33","7QnidGGKs1c6kKJoAAAI","Level2","NUM",100,1,-0.2
