"human_id","condition","Early_game_score","Total_score","Best_model","Total_time","TR_minus_NT_BIC","Rand_minus_best_BIC"
"38VxtUSv_h6RR5-tAAA2","Level2",0,0,"random",218848,-0.940789126221034,0
"oXdDF_U-Dft2ja2lAAAs","Level1",0,0,"QL_states",458664,5.96398742604865,210.66240671008
"4HDD95eEc5uc6WGZAAB-","Level1",0,0,"QL_states",398306,1.48505599786154,28.6014273882728
"QSuzBXpbyRc370HsAACW","Level2",0,0,"Bayes NT",206216,1.76662693831685,26.5756049874979
"9M_yMJbCXl54gNUJAAAg","Level2",0,0,"QL_states",312135,-5.05420107749126,65.2889301270242
"SqFSft5pBSQvCRguAAB4","Level2",0,0,"Bayes NT",280373,2.50584812180313,224.486837932011
"OMboMzdFXCbIT4xIAABY","Level1",0,0,"QL_states",290849,4.23082921830689,136.034785683064
"FeAZRu_9Hrcdjm_iAABo","Level1",0,0,"QL_states",457608,-2.85377598500395,64.9650747827762
"h_7YPIjrawfjJTC9AACI","Level1",0,0,"QL_states",274773,0.169204410089776,7.17650534460182
"7QnidGGKs1c6kKJoAAAI","Level2",0,0,"QL_states",296250,1.21564298057604,129.944351887083
"Awf0J1oiQuRs5911AAAS","Level2",0,0,"Bayes Tr",119964,-16.8886046579236,232.570084775409
"O5H_fl6X-WZWz26DAABu","Level2",0,0,"random",118096,0.1397907867659,0
"2NHwNgPzjWxDBriwAAAU","Level2",0,0,"QL",245151,0.486147073208713,17.9457812124439
"2ZmOL0OjH5Uwt3DCAACm","Level1",0,0,"random",194255,-1.26795603807744,0
"7uLGzocWjI2W7oj0AAAq","Level1",0,0,"QL_states",260674,1.08591678201662,101.57758772635
"2rceYs3ijHQUGaHWAAAE","Level1",0,0,"Bayes Tr",1045860,-10.2969506874049,189.942917445838
"nwR4WarcStlliwI7AAA-","Level2",0,0,"QL_states",165444,2.10814121104642,14.3828321628515
"2H3e6jXSDoRUUpIeAAAG","Level2",0,0,"QL_states",279338,-0.204595767665637,14.2672231901151
"NdP4BC2S2NeOQ4WqAABa","Level2",0,0,"QL_states",136104,2.17377531845642,167.441280831896
"8z6u62nisLvOgfsbAACC","Level1",0,0,"QL_states",151633,2.13637155955286,59.8980446046779
"PC0tz873AYJDuBl-AABk","Level1",0,0,"QL_states",172156,-1.79253988567413,197.648987534398
"tiYbLbPVLMnsq9hUAAAC","Level1",0,0,"QL_states",267666,1.90491803322129,109.122896698765
"EHmRs5tGqI6y_ZBYAAAM","Level2",0,0,"QL_states",554950,-2.56376998115309,63.8124669558595
"tWiP-HttMqVnssTJAABW","Level1",0,0,"QL_states",393206,1.51046406328982,8.51110512342973
"IFLGp4SWYD1rUTXOAAAW","Level1",0,0,"QL_states",284490,5.44933368648844,105.399040727615
"G1UYl_ZdFvPn_auuAAA0","Level1",0,0,"Bayes Tr",272291,-1.63283370879751,131.611631994609
"cpNjZm4TSPEFe4-IAABs","Level1",0,0,"QL_states",561795,-0.81735956617257,10.0273775953857
"wsI-VTgA8Q7jaUGqAAAQ","Level1",0,0,"QL_states",311356,3.98956123093149,75.3195908817407
"2Icz3DkcGwi230swAABw","Level2",0,0,"random",312217,0.0844731437010751,0
"0n-ueZ_Y59EpoZdSAAAe","Level1",0,0,"QL_states",305777,-6.92031036401278,210.167511326427
"DuD-LPjDw4N2S-63AAB6","Level1",0,0,"QL_states",360675,-1.79616798703313,117.208690036166
"rZNY1f0WR1tWMQF4AABm","Level2",0,0,"QL_states",241748,0.699102220146187,50.0276508896115
"FXzVIP95gQOHYZ25AAAw","Level1",0,0,"QL_states",218001,4.72442955295784,212.786458991159
"OKTUZhRu5vEV8REOAABU","Level2",0,0,"QL_states",349739,12.7829755316181,268.963091650781
"hkwYQrDHoPaA4yMaAABg","Level2",0,0,"QL_states",241642,-0.669519029656442,6.82881869605814
"wuPP0rwjmFrZ1QlRAAAK","Level1",0,0,"S_EWA",197882,0.193260925183722,4.31691243581287
"HE1L_7f92p8RhgaIAAAc","Level2",0,0,"random",208969,0.090634512850329,0
"iDh62P2wg6ao1dSUAACk","Level2",0,0,"QL_states",162762,0.103423763246894,41.994815567421
"vuzUzEEiYLwXW9x9AAAO","Level1",0,0,"QL_states",232215,0.769498224836923,12.3394856657397
"7UidQyU1y52UvfhMAACo","Level2",0,0,"Bayes Tr",895112,-4.16238715532921,27.7344568920255
"E8kPvIi6RmunS_t2AAAu","Level2",0,0,"QL_states",447707,-5.69928932146297,75.2009688499649
"Hg433PNmJWz9FixvAACM","Level2",0,0,"QL_states",367551,-0.75231941612401,24.2853619067583
"zPmO4kt4wkjme_W5AABq","Level2",0,0,"random",156941,0.22086455860665,0
"YKayqpSUklwV5pOWAABe","Level1",0,0,"Bayes NT",428670,4.12051053879844,233.583882746978
"06i_Cux84PGac8aqAAAA","Level2",0,0,"random",100041,0.0646178348192166,0
"k-jbqaetGTrE-1e_AAAk","Level2",0,0,"QL_states",294195,-0.0106211392506452,118.891572189416
"c56kda3LQEpjIPm3AACE","Level2",0,0,"QL_states",335645,1.73727828786855,107.581167931765
"62ksRmCUyOlOJWTQAAB2","Level2",0,0,"Bayes NT",544023,1.00306691173199,166.904689555813
"90EJZg_2bJ92R8vmAAAa","Level2",0,0,"QL_states",227685,-1.26304064910778,103.05182124086
"Nsa2geNpUZ9ulTlKAABG","Level1",0,0,"QL_states",531124,0.91706654173646,209.152584541712
"sgIt_KViZxGWuvbTAAB8","Level2",0,0,"QL_states",241238,6.62536511903949,57.7850395022273
"eJ5xg-wBh5lN4PNyAABi","Level1",0,0,"Bayes NT",1639179,13.4881534847524,278.511356088076
